id,price_doc
30474,5487971.0
30475,8011316.5
30476,5224305.0
30477,5959422.0
30478,4932291.0
30479,9573022.0
30480,4303460.0
30481,4179471.0
30482,4701339.5
30483,4238202.5
30484,6720793.0
30485,4787502.5
30486,3181382.0
30487,4138599.0
30488,6732980.0
30489,5858498.5
30490,22365544.0
30491,17619350.0
30492,5682467.5
30493,13625596.0
30494,6932762.0
30495,11542780.0
30496,8009234.0
30497,7390506.5
30498,4177669.5
30499,8140511.5
30500,11685986.0
30501,7009855.5
30502,3399398.25
30503,4867405.0
30504,6242896.5
30505,10327162.0
30506,3135804.0
30507,4774012.5
30508,5181511.5
30509,7690967.5
30510,9169324.0
30511,6435334.5
30512,5885601.5
30513,4303460.0
30514,3571307.25
30515,9563144.0
30516,5574263.0
30517,12350676.0
30518,6113420.5
30519,4575316.0
30520,6117922.5
30521,4784452.0
30522,7406192.0
30523,5813777.0
30524,10661116.0
30525,7910823.5
30526,4704035.5
30527,5070498.0
30528,6251329.5
30529,6439070.0
30530,6415933.0
30531,12225516.0
30532,4796990.5
30533,10757870.0
30534,6209343.0
30535,9230690.0
30536,5413383.5
30537,11573426.0
30538,4766074.5
30539,9270922.0
30540,9385950.0
30541,5062343.5
30542,2216410.75
30543,6104062.0
30544,6699758.0
30545,8990450.0
30546,4059732.0
30547,8904766.0
30548,4576114.0
30549,5058871.5
30550,11111808.0
30551,5053194.0
30552,2117706.5
30553,8312727.5
30554,10801040.0
30555,6352178.5
30556,9319592.0
30557,8890104.0
30558,8434054.0
30559,6723256.0
30560,6039864.5
30561,6591561.0
30562,12315726.0
30563,4800683.5
30564,8122121.5
30565,6617800.0
30566,6850839.0
30567,2216410.75
30568,10456248.0
30569,9661128.0
30570,7093868.5
30571,7371574.0
30572,4744305.5
30573,6877717.5
30574,6008057.0
30575,7946059.5
30576,4938656.5
30577,4402218.0
30578,3187650.75
30579,6664112.5
30580,4341579.5
30581,4956988.0
30582,13238938.0
30583,6792668.5
30584,4069431.5
30585,2566744.0
30586,8654182.0
30587,5866412.0
30588,8416954.0
30589,7439804.5
30590,9771602.0
30591,5573629.5
30592,7149603.5
30593,8936384.0
30594,5216830.5
30595,5833255.5
30596,6293963.5
30597,6794034.0
30598,9230690.0
30599,11819736.0
30600,4887788.0
30601,6402023.0
30602,2273302.75
30603,11845514.0
30604,4500895.0
30605,6836729.0
30606,24642252.0
30607,5732604.0
30608,7641331.0
30609,5858498.5
30610,3342917.5
30611,5218785.5
30612,7474312.0
30613,9457804.0
30614,17881342.0
30615,7519355.0
30616,5435411.5
30617,9993562.0
30618,5043223.5
30619,4521011.0
30620,2669684.0
30621,9899594.0
30622,8359770.5
30623,6387734.0
30624,6874505.0
30625,7744502.0
30626,6812585.5
30627,5406327.0
30628,6722458.5
30629,5641516.0
30630,4990120.0
30631,5979607.0
30632,3920463.75
30633,5701134.0
30634,12170428.0
30635,9385950.0
30636,5271745.0
30637,9003010.0
30638,6485015.5
30639,7696677.5
30640,4676126.5
30641,7691917.5
30642,6962729.5
30643,7878778.0
30644,9230690.0
30645,7396807.0
30646,5034804.0
30647,4865334.0
30648,32435976.0
30649,2469413.25
30650,4990476.0
30651,3348126.25
30652,4423911.0
30653,16802236.0
30654,4738921.0
30655,13750128.0
30656,4018769.0
30657,6414731.5
30658,9618928.0
30659,5016896.0
30660,8662020.0
30661,6568983.5
30662,9006666.0
30663,10621942.0
30664,14529080.0
30665,5858498.5
30666,2512035.75
30667,3920565.75
30668,8289640.5
30669,5017176.0
30670,2525475.0
30671,6949444.0
30672,12753902.0
30673,10964640.0
30674,12195844.0
30675,2216410.75
30676,7374179.0
30677,4274990.5
30678,19233416.0
30679,5691260.5
30680,5108521.0
30681,2365121.75
30682,8530472.0
30683,9951416.0
30684,5034999.0
30685,6734386.0
30686,9077942.0
30687,4781808.5
30688,4277223.5
30689,18568914.0
30690,31887140.0
30691,4741146.5
30692,5783273.5
30693,12122470.0
30694,4753969.0
30695,6225103.5
30696,6847305.5
30697,11461494.0
30698,8570742.0
30699,5972819.0
30700,4744305.5
30701,9230690.0
30702,6255822.5
30703,3769527.0
30704,11739832.0
30705,8467056.0
30706,26191432.0
30707,3381155.5
30708,13982176.0
30709,6475239.0
30710,7369790.5
30711,4769903.5
30712,4163310.5
30713,5726934.5
30714,7683372.0
30715,3651058.5
30716,9951416.0
30717,3897158.75
30718,11844306.0
30719,12509194.0
30720,8569390.0
30721,4749766.5
30722,7119615.5
30723,5622432.0
30724,11779736.0
30725,4667688.0
30726,12077648.0
30727,9563144.0
30728,10966066.0
30729,3562595.25
30730,6124530.0
30731,6297531.0
30732,4486637.5
30733,6481299.0
30734,6516098.5
30735,5614991.0
30736,5901544.0
30737,6265766.5
30738,5910092.5
30739,4063397.75
30740,6847280.0
30741,18875470.0
30742,3993945.5
30743,4687219.5
30744,9771382.0
30745,6873078.0
